,broadcaster_id,game_id,created_at,view_count
KitschyBlitheLettuceCoolStoryBob-063DkUmFTNjKdG-u,94753024,509658,2022-06-10T21:14:43Z,113487
ObesePleasantCougarStoneLightning-1-chiDNSCx6sFaFF,94753024,509658,2022-06-05T03:16:58Z,49233
HandsomeColorfulEchidnaKreygasm-E-CeBUuT7kjetB_Q,94753024,509658,2022-06-05T22:49:51Z,23729
AnnoyingAwkwardSeahorseFutureMan-D8IIXKDOGU5secft,94753024,509658,2022-06-05T03:22:43Z,13659
TolerantGiantMacaroniEagleEye-mJnEm3WZMP5Im69R,94753024,509658,2022-06-05T23:48:43Z,8700
DistinctConsiderateDragonfruitKappaWealth-Mqm_-VmKFVH5zVBA,94753024,509658,2022-06-05T22:48:51Z,4347
SpookyAssiduousAardvarkBIRB-RGgKKKorG1ypF1Yd,94753024,509658,2022-06-07T13:39:13Z,3120
LazySpunkyWombatAsianGlow-wqUKiBFf_G0uPJAW,94753024,509658,2022-06-11T03:38:57Z,2617
TangibleBoldAyeayeRitzMitz-H3OIDunuyh9HW3kO,94753024,509658,2022-06-04T21:29:31Z,2248
EnticingSquareRamenCmonBruh-Vhq8VRRuJgm2Klln,94753024,509658,2022-06-10T20:59:52Z,2039
